,retweeted_tweet_id,tweet_text_,tweet_date,tweet_sentiment,retweeted_user_geo_coding,retweeted_tweet_date,retweeted_user_screenname,total_engagement,retweeted_user_screenname,color
0,1423107220636508160,What the fuck are we meant to do? I'm vaccinated. I live alone. I've been staying at home. I am 25. I've wasted two years of…,2021-08-08,negative,Unknown,2021-08-05,georgjar,231892,georgjar,#AA0DFE
1,1424225825998573568,"Dr. Maung Maung Nyein Tun, a genera surgeon from Mandalay, passed away in Mandalay prison after being arrested by SAC soldie…",2021-08-10,negative,Myanmar,2021-08-08,cvdom2021,3039,cvdom2021,#3283FE
2,1424406265254408192,"I’m crying SO BAD reading Siti Sarah case. No, not because she’s an artist. But this is the first time the media coverage a…",2021-08-09,negative,Unknown,2021-08-08,malissaali,83097,malissaali,#85660D
3,1424509535096500224,"Siti Sarah’s death opens the eyes of many on the reality, mothers who are pregnant during this pandemic and infected by C…",2021-08-10,negative,Unknown,2021-08-08,bewithviolet,46325,bewithviolet,#782AB6
4,1424565188305555712,Pregnant mummies need to be vaccinated ASAP. Laki kau tak bg? Meh sini aku tunjal kepala dia.,2021-08-10,negative,Unknown,2021-08-09,ZackAvaricious,35022,ZackAvaricious,#565656
5,1424618122527531008,"Today, in Singapore, on National Day, over 300,000 people remain trapped in dormitories.",2021-08-10,negative,Unknown,2021-08-09,acertainjolene,703,acertainjolene,#1C8356
6,1425968836612960512,"Just 8 days after Rand Paul bought stock in Gilead, he was the only Senator to vote against an emergency bill to curb the CO…",2021-08-14,negative,United States,2021-08-12,Booker4KY,46397,Booker4KY,#16FF32
7,1426331257659592704,The struggle                          The shot https://t.co/INRHhdgM6i,2021-08-16,negative,United States,2021-08-13,jiggy_japh,267045,jiggy_japh,#F7E1A0
8,1427195567088750592,“I’ve never been sick which is why I don’t believe in getting the vaccine” https://t.co/aV0z2IeRXI,2021-08-18,negative,United Kingdom,2021-08-16,angelamavalla,136430,angelamavalla,#E2E2E2
9,1427707880405442560,Absolutely insane anti-vax sticker outside my apartment https://t.co/x7Nya4BPrP,2021-08-19,negative,Ireland,2021-08-17,ConorHaloReach,244318,ConorHaloReach,#1CBE4F
10,1428060169485836288,this pandemic has been really hard on those of us who are hotter in person,2021-08-23,negative,United States,2021-08-18,meesterleesir,79677,meesterleesir,#C4451C
11,1428372322709393408,This vaccine shit created a divide that I am not sure we will recover from. There are people in my life that I can’t ever loo…,2021-08-22,negative,Unknown,2021-08-19,Duanecia,108810,Duanecia,#DEA0FD
12,1428584131835748352,"A lot of people are getting the OnlyFans story wrong, and the reality of it is a lot more damaging and concerning to both…",2021-08-23,negative,Unknown,2021-08-20,PostCultRev,98744,PostCultRev,#FE00FA
13,1428878771067707392,The babies have no IDEA wtf Chickenpox is and y'all out here saying vaccines don't work lmaoo,2021-08-23,negative,Canada,2021-08-21,simsimmaaz,244367,simsimmaaz,#325A9B
14,1430228512988876800,Y’all remember when COVID first popped off and had niggas scared to cough 🤣🤣🤣🤣🤣🤣🤣 https://t.co/FmpMZ3lGCu,2021-08-26,negative,United States,2021-08-24,Tegotm1,164645,Tegotm1,#FEAF16
15,1430264566013911040,"Today the vet told me that since Covid, they’ve had to treat a number of cats with depression caused by irritation that the…",2021-08-26,negative,United Kingdom,2021-08-24,joannamont,478264,joannamont,#F8A19F
16,1432311408981467136,Missing my life before covid.😢 https://t.co/mijg6igIM0,2021-09-03,negative,Unknown,2021-08-30,rabbaniahmad_,52348,rabbaniahmad_,#90AD1C
17,1432909262280278016,Miss this vid. Singaporean top fucks tourist. So hot😍 Will post part 2 in awhile. https://t.co/hE8r2dnoiW,2021-09-16,negative,Unknown,2021-09-01,OutWithMehh,6217,OutWithMehh,#F6222E
18,1435889645343096832,"Fuck vaccination cards nightclubs should ask for proof that you’ve washed your arm pits in the last 24 hours, can never enj…",2021-09-11,negative,Unknown,2021-09-09,jackashbyy,92421,jackashbyy,#1CFFCE
19,1436005248800264192,"People whining about being CANCELLED for refusing to get vaccinated, meanwhile, this is what real cancellation actually lo…",2021-09-11,negative,Unknown,2021-09-09,BillyArmagh,41319,BillyArmagh,#2ED9FF
20,1436158174252318720,i miss the life without covid.,2021-09-15,negative,Unknown,2021-09-10,trixieaaang,181899,trixieaaang,#B10DA1
21,1436338636119760896,"holy fucking shit, ""Donald Trump deserves endless praise for the vaccine you can't force me to take"" is some industria…",2021-09-12,negative,Unknown,2021-09-10,itsJeffTiedrich,25986,itsJeffTiedrich,#C075A6
22,1437736253563162624,if singapore had a met gala and the theme was singapore fashion i’ll show up in my secondary sch pe shirt,2021-09-18,negative,Unknown,2021-09-14,hahazebr4,2218,hahazebr4,#FC1CBF
23,1437806288952570112,A warning to others: I got the vaccine and now my boobs are so large and luscious I’ve received 13 marriage proposals in the…,2021-09-16,negative,Unknown,2021-09-14,jaynooch,155462,jaynooch,#B00068
24,1438235812982935552,"someone saw me doing wudhu at work and said ""you must be really paranoid about covid"" im paranoid about qiyamat sir",2021-09-21,negative,Unknown,2021-09-15,sakandthecity,57616,sakandthecity,#FBE426
